iter	Passed	Remaining
0	28	11394
1	61	12201
2	81	10758
3	94	9403
4	105	8295
5	119	7872
6	135	7588
7	153	7533
8	168	7309
9	182	7116
10	198	7018
11	213	6890
12	228	6801
13	243	6719
14	258	6632
15	273	6562
16	277	6243
17	292	6206
18	308	6183
19	323	6141
20	336	6070
21	351	6030
22	365	5993
23	379	5950
24	394	5913
25	409	5891
26	423	5852
27	438	5823
28	467	5980
29	471	5816
30	487	5800
31	499	5744
32	514	5718
33	524	5646
34	537	5603
35	553	5596
36	567	5572
37	582	5553
38	597	5534
39	615	5540
40	634	5551
41	643	5488
42	665	5523
43	683	5533
44	699	5516
45	718	5526
46	730	5489
47	745	5469
48	765	5481
49	785	5500
50	808	5533
51	829	5550
52	849	5564
53	870	5579
54	890	5585
55	910	5591
56	930	5598
57	951	5610
58	972	5623
59	992	5625
60	1013	5634
61	1033	5634
62	1044	5588
63	1063	5584
64	1084	5591
65	1107	5602
66	1128	5606
67	1147	5601
68	1164	5587
69	1185	5589
70	1205	5587
71	1226	5586
72	1242	5565
73	1262	5561
74	1281	5553
75	1297	5532
76	1315	5516
77	1334	5508
78	1354	5501
79	1369	5478
80	1388	5469
81	1406	5453
82	1419	5421
83	1433	5391
84	1448	5367
85	1454	5310
86	1469	5286
87	1484	5263
88	1502	5250
89	1521	5240
90	1539	5227
91	1555	5207
92	1576	5205
93	1597	5200
94	1619	5198
95	1633	5174
96	1653	5165
97	1666	5135
98	1675	5094
99	1685	5056
100	1699	5030
101	1713	5006
102	1727	4982
103	1739	4951
104	1753	4926
105	1768	4903
106	1774	4860
107	1791	4842
108	1804	4816
109	1819	4796
110	1830	4765
111	1845	4744
112	1848	4695
113	1863	4675
114	1880	4661
115	1888	4624
116	1904	4605
117	1926	4605
118	1950	4606
119	1964	4583
120	1984	4574
121	2001	4560
122	2017	4544
123	2025	4508
124	2043	4496
125	2048	4454
126	2066	4442
127	2081	4423
128	2094	4400
129	2112	4387
130	2129	4371
131	2145	4355
132	2160	4337
133	2176	4319
134	2193	4306
135	2212	4294
136	2228	4278
137	2244	4261
138	2259	4242
139	2276	4227
140	2286	4199
141	2301	4181
142	2308	4149
143	2324	4132
144	2339	4113
145	2343	4077
146	2361	4063
147	2379	4051
148	2393	4032
149	2407	4011
150	2421	3993
151	2436	3975
152	2442	3943
153	2457	3924
154	2474	3911
155	2486	3888
156	2506	3879
157	2521	3861
158	2537	3846
159	2563	3845
160	2582	3834
161	2603	3825
162	2619	3808
163	2634	3790
164	2651	3775
165	2664	3756
166	2678	3737
167	2692	3718
168	2707	3700
169	2715	3673
170	2730	3656
171	2748	3642
172	2767	3631
173	2772	3601
174	2791	3588
175	2803	3568
176	2817	3549
177	2832	3532
178	2847	3515
179	2865	3502
180	2885	3491
181	2901	3475
182	2921	3463
183	2934	3445
184	2949	3428
185	2964	3410
186	2981	3395
187	3000	3383
188	3020	3372
189	3041	3361
190	3060	3348
191	3078	3335
192	3096	3321
193	3119	3312
194	3139	3300
195	3158	3286
196	3176	3273
197	3195	3260
198	3214	3246
199	3234	3234
200	3252	3220
201	3272	3207
202	3290	3192
203	3308	3178
204	3326	3164
205	3345	3150
206	3363	3135
207	3378	3118
208	3395	3103
209	3414	3088
210	3429	3072
211	3447	3057
212	3466	3043
213	3485	3029
214	3507	3018
215	3530	3007
216	3549	2993
217	3572	2982
218	3592	2969
219	3605	2949
220	3622	2934
221	3641	2919
222	3659	2904
223	3679	2890
224	3697	2875
225	3715	2860
226	3735	2846
227	3751	2829
228	3768	2814
229	3786	2799
230	3803	2782
231	3822	2767
232	3840	2752
233	3855	2735
234	3872	2718
235	3890	2703
236	3927	2701
237	3945	2685
238	3961	2668
239	3978	2652
240	3997	2637
241	4014	2620
242	4033	2605
243	4047	2587
244	4062	2569
245	4080	2554
246	4096	2537
247	4117	2523
248	4136	2508
249	4156	2494
250	4174	2478
251	4192	2462
252	4210	2446
253	4227	2429
254	4245	2413
255	4259	2396
256	4275	2378
257	4290	2361
258	4306	2344
259	4323	2328
260	4349	2316
261	4367	2300
262	4382	2282
263	4405	2269
264	4421	2252
265	4438	2236
266	4452	2218
267	4467	2200
268	4485	2184
269	4498	2165
270	4511	2147
271	4526	2129
272	4541	2112
273	4556	2095
274	4574	2079
275	4594	2064
276	4611	2047
277	4627	2030
278	4647	2015
279	4665	1999
280	4683	1983
281	4702	1967
282	4722	1952
283	4742	1937
284	4761	1921
285	4779	1905
286	4799	1889
287	4818	1873
288	4830	1855
289	4843	1837
290	4859	1820
291	4877	1804
292	4895	1787
293	4913	1771
294	4930	1754
295	4946	1737
296	4966	1722
297	4983	1705
298	5000	1689
299	5019	1673
300	5034	1656
301	5054	1640
302	5072	1623
303	5086	1606
304	5099	1588
305	5116	1571
306	5135	1555
307	5152	1539
308	5167	1521
309	5186	1505
310	5204	1489
311	5222	1472
312	5246	1458
313	5280	1446
314	5303	1431
315	5325	1415
316	5342	1398
317	5359	1382
318	5384	1367
319	5409	1352
320	5429	1336
321	5445	1319
322	5462	1302
323	5480	1285
324	5500	1269
325	5522	1253
326	5542	1237
327	5562	1221
328	5583	1204
329	5603	1188
330	5622	1172
331	5646	1156
332	5673	1141
333	5695	1125
334	5710	1108
335	5727	1090
336	5741	1073
337	5755	1055
338	5770	1038
